   CH4(S1) => CH3(S1) + H(S2)
Arrhenius parameters A, B, E:    3.711e+06    0.21  100.494
  T/K     k_calc(s-1)      k_fit(s-1)       f_unc       uncertainty(%)
 3120.0   4.33e+05         4.30e+05      2.1041e+00           110.4
 3130.0   4.38e+05         4.35e+05      2.0991e+00           109.9
 3140.0   4.44e+05         4.41e+05      2.0941e+00           109.4
 3150.0   4.50e+05         4.47e+05      2.0892e+00           108.9
 3160.0   4.55e+05         4.53e+05      2.0844e+00           108.4
 3170.0   4.61e+05         4.58e+05      2.0795e+00           108.0
 3180.0   4.67e+05         4.64e+05      2.0748e+00           107.5
 3190.0   4.73e+05         4.70e+05      2.0700e+00           107.0
 3200.0   4.79e+05         4.76e+05      2.0653e+00           106.5
 3210.0   4.85e+05         4.82e+05      2.0607e+00           106.1
 3220.0   4.91e+05         4.88e+05      2.0560e+00           105.6
 3230.0   4.97e+05         4.94e+05      2.0514e+00           105.1
 3240.0   5.03e+05         5.00e+05      2.0469e+00           104.7
 3250.0   5.09e+05         5.06e+05      2.0424e+00           104.2
 3260.0   5.15e+05         5.12e+05      2.0379e+00           103.8
 3270.0   5.22e+05         5.19e+05      2.0335e+00           103.3
 3280.0   5.28e+05         5.25e+05      2.0291e+00           102.9
 3290.0   5.34e+05         5.31e+05      2.0247e+00           102.5
 3300.0   5.40e+05         5.37e+05      2.0204e+00           102.0
 3310.0   5.47e+05         5.44e+05      2.0161e+00           101.6
 3320.0   5.53e+05         5.50e+05      2.0119e+00           101.2
 3330.0   5.59e+05         5.56e+05      2.0077e+00           100.8
 3340.0   5.66e+05         5.63e+05      2.0035e+00           100.3
 3350.0   5.72e+05         5.69e+05      1.9993e+00            99.9
 3360.0   5.79e+05         5.76e+05      1.9952e+00            99.5
 3370.0   5.85e+05         5.82e+05      1.9911e+00            99.1
 3380.0   5.92e+05         5.89e+05      1.9871e+00            98.7
 3390.0   5.99e+05         5.96e+05      1.9830e+00            98.3
 3400.0   6.05e+05         6.02e+05      1.9791e+00            97.9
 3410.0   6.12e+05         6.09e+05      1.9751e+00            97.5
 3420.0   6.19e+05         6.16e+05      1.9712e+00            97.1
 3430.0   6.25e+05         6.22e+05      1.9673e+00            96.7
 3440.0   6.32e+05         6.29e+05      1.9634e+00            96.3
 3450.0   6.39e+05         6.36e+05      1.9596e+00            96.0
 3460.0   6.46e+05         6.43e+05      1.9558e+00            95.6
 3470.0   6.53e+05         6.50e+05      1.9520e+00            95.2
 3480.0   6.60e+05         6.57e+05      1.9482e+00            94.8
 3490.0   6.67e+05         6.64e+05      1.9445e+00            94.5
